lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
pastatas,building,A1,A,1461597222,1461598097,1461598653,1461599383,1461599951,1461600711,1461601222,100,building,1,21.18333333
mesa,meat,A1,A,1461597234,1461598070,1461598710,1461599353,1461599975,1461600707,1461601232,100,meat,1,20.95
kreida,chalk,A1,A,1461597248,1461598054,1461598669,1461599403,1461599965,1461600699,1461601238,75,sword,0,21.21666667
bugnas,drum,A1,A,1461597262,1461598085,1461598683,1461599393,1461599985,1461600719,1461601235,100,drum,1,20.83333333
muilas,soap,A1,A,1461597274,1461598111,1461598700,1461599369,1461599995,1461600716,1461601249,100,soap,1,20.9
rusys,basement,A1,A,1461597290,1461598153,1461598750,1461599446,1461600023,1461600722,1461601254,100,basement,1,20.51666667
mokykla,school,A1,A,1461597304,1461598165,1461598778,1461599470,1461600060,1461600733,1461601268,100,school,1,20.13333333
dirzas,belt,A1,A,1461597320,1461598175,1461598762,1461599417,1461600011,1461600735,1461601274,100,belt,1,21.05
pupa,bean,A1,A,1461597332,1461598125,1461598722,1461599458,1461600036,1461600728,1461601278,100,bean,1,20.7
nafta,oil,A1,A,1461597349,1461598139,1461598736,1461599430,1461600050,1461600725,1461601271,100,oil,1,20.35
sausainis,cookie,A1,A,1461597359,1461598232,1461598849,1461599522,1461600106,1461600749,1461601285,77,cookie,1,19.65
purvas,dirt,A1,A,1461597369,1461598242,1461598817,1461599510,1461600116,1461600752,1461601291,95,dirt,1,19.58333333
traukinys,train,A1,A,1461597379,1461598187,1461598790,1461599482,1461600084,1461600746,1461601280,86,train,1,19.93333333
arbata,tea,A1,A,1461597389,1461598204,1461598833,1461599532,1461600070,1461600740,1461601282,100,tea,1,20.2
smuikas,violin,A1,A,1461597405,1461598220,1461598806,1461599498,1461600096,1461600742,1461601294,73,violin,1,19.96666667
burna,mouth,A1,A,1461597421,1461598317,1461598891,1461599597,1461600185,1461600758,1461601304,94,mouth,1,18.65
daina,song,A1,A,1461597431,1461598300,1461598861,1461599583,1461600173,1461600767,1461601320,73,song,1,19.11666667
zele,jelly,A1,A,1461597447,1461598284,1461598917,1461599547,1461600159,1461600764,1461601300,77,jelly,1,19.01666667
kriaukle,sink,A1,A,1461597458,1461598268,1461598901,1461599557,1461600130,1461600761,1461601309,74,unsure,0,19.65
kamuolys,ball,A1,A,1461597468,1461598252,1461598875,1461599569,1461600145,1461600756,1461601325,76,unsure,0,19.66666667
gelezis,iron,A1,A,1461597478,1461598389,1461598990,1461599656,1461600251,1461600770,1461601358,65,unsure,0,18.45
kardas,sword,A1,A,1461597494,1461598329,1461598980,1461599672,1461600241,1461600782,1461601371,56,unsure,0,18.83333333
tiltas,bridge,A1,A,1461597508,1461598373,1461598950,1461599639,1461600199,1461600779,1461601378,52,bridge,1,19.65
smegenys,brain,A1,A,1461597518,1461598357,1461598966,1461599625,1461600225,1461600776,1461601343,53,unsure,0,18.63333333
sesuo,sister,A1,A,1461597534,1461598343,1461598933,1461599609,1461600213,1461600773,1461601338,66,sister,1,18.75
padazas,gravy,A1,A,1461597550,1461598399,1461599026,1461599684,1461600304,1461600796,1461601449,63,unsure,0,19.08333333
plyta,brick,A1,A,1461597563,1461598427,1461599010,1461599716,1461600320,1461600785,1461601389,76,bread,0,17.81666667
lova,bed,A1,A,1461597575,1461598448,1461599040,1461599728,1461600264,1461600788,1461601387,87,bed,1,18.71666667
upe,river,A1,A,1461597589,1461598413,1461599000,1461599704,1461600276,1461600794,1461601446,86,river,1,19.5
kirvis,axe,A1,A,1461597599,1461598438,1461599055,1461599694,1461600292,1461600791,1461601436,73,sword,0,19.06666667
kunigas,priest,A1,A,1461597613,1461598506,1461599075,1461599801,1461600358,1461600803,1461601454,55,unsure,0,18.26666667
knyga,book,A1,A,1461597629,1461598484,1461599065,1461599756,1461600370,1461600806,1461601461,64,unsure,0,18.18333333
varpas,bell,A1,A,1461597639,1461598472,1461599085,1461599773,1461600383,1461600812,1461601487,67,unsure,0,18.4
miestas,city,A1,A,1461597653,1461598462,1461599099,1461599740,1461600332,1461600809,1461601475,76,soap,0,19.05
lietus,rain,A1,A,1461597667,1461598494,1461599109,1461599787,1461600342,1461600800,1461601470,74,unsure,0,18.8
batas,shoe,A1,A,1461597682,1461598530,1461599154,1461599849,1461600397,1461600824,1461601494,100,shoe,1,18.28333333
karalius,king,A1,A,1461597698,1461598571,1461599170,1461599811,1461600429,1461600820,1461601497,100,king,1,17.8
akis,eye,A1,A,1461597710,1461598557,1461599141,1461599859,1461600407,1461600826,1461601506,100,eye,1,18.31666667
masina,car,A1,A,1461597722,1461598546,1461599184,1461599839,1461600443,1461600814,1461601500,86,car,1,17.61666667
pinigine,wallet,A1,A,1461597734,1461598520,1461599125,1461599823,1461600419,1461600817,1461601503,87,wallet,1,18.06666667
laikrodis,clock,A1,A,1461597744,1461598599,1461599222,1461599922,1461600506,1461600838,1461601517,90,clock,1,16.85
laiptelis,stair,A1,A,1461597756,1461598585,1461599212,1461599871,1461600475,1461600829,1461601509,99,stair,1,17.23333333
kumpis,ham,A1,A,1461597772,1461598635,1461599200,1461599886,1461600490,1461600835,1461601511,76,unsure,0,17.01666667
duona,bread,A1,A,1461597784,1461598615,1461599234,1461599910,1461600459,1461600832,1461601528,79,bread,1,17.81666667
vaistas,drug,A1,A,1461597799,1461598625,1461599246,1461599898,1461600522,1461600842,1461601531,62,unsure,0,16.81666667
pastatas,building,A10,A,1465578537,1465579186,1465579786,1465580455,1465581040,1465581819,1465582226,81,building,1,19.76666667
mesa,meat,A10,A,1465578549,1465579160,1465579843,1465580425,1465581065,1465581813,1465582239,99,meat,1,19.56666667
kreida,chalk,A10,A,1465578563,1465579144,1465579802,1465580475,1465581054,1465581794,1465582250,50,unsure,0,19.93333333
bugnas,drum,A10,A,1465578577,1465579174,1465579816,1465580465,1465581075,1465581833,1465582243,20,unsure,0,19.46666667
muilas,soap,A10,A,1465578589,1465579201,1465579833,1465580441,1465581085,1465581827,1465582257,41,unsure,0,19.53333333
rusys,basement,A10,A,1465578605,1465579243,1465579883,1465580517,1465581113,1465581850,1465582268,100,basement,1,19.25
mokykla,school,A10,A,1465578620,1465579255,1465579911,1465580542,1465581149,1465581864,1465582273,8,unsure,0,18.73333333
dirzas,belt,A10,A,1465578636,1465579265,1465579895,1465580489,1465581101,1465581869,1465582288,40,belt,1,19.78333333
pupa,bean,A10,A,1465578648,1465579215,1465579855,1465580530,1465581125,1465581859,1465582292,81,wallet,0,19.45
nafta,oil,A10,A,1465578664,1465579229,1465579869,1465580501,1465581139,1465581854,1465582284,50,oil,1,19.08333333
sausainis,cookie,A10,A,1465578674,1465579322,1465579982,1465580594,1465581196,1465581894,1465582332,81,cookie,1,18.93333333
purvas,dirt,A10,A,1465578684,1465579332,1465579950,1465580582,1465581206,1465581898,1465582335,41,unsure,0,18.81666667
traukinys,train,A10,A,1465578694,1465579277,1465579923,1465580554,1465581174,1465581888,1465582326,79,train,1,19.2
arbata,tea,A10,A,1465578704,1465579293,1465579966,1465580604,1465581159,1465581874,1465582329,81,tea,1,19.5
smuikas,violin,A10,A,1465578721,1465579310,1465579939,1465580570,1465581186,1465581877,1465582346,11,unsure,0,19.33333333
burna,mouth,A10,A,1465578737,1465579406,1465580024,1465580669,1465581274,1465581908,1465582357,100,mouth,1,18.05
daina,song,A10,A,1465578747,1465579390,1465579994,1465580655,1465581262,1465581926,1465582382,60,unsure,0,18.66666667
zele,jelly,A10,A,1465578763,1465579374,1465580050,1465580618,1465581248,1465581921,1465582353,97,jelly,1,18.41666667
kriaukle,sink,A10,A,1465578773,1465579358,1465580034,1465580628,1465581220,1465581912,1465582365,21,sword,0,19.08333333
kamuolys,ball,A10,A,1465578783,1465579342,1465580008,1465580641,1465581234,1465581903,1465582388,96,ball,1,19.23333333
gelezis,iron,A10,A,1465578793,1465579479,1465580123,1465580727,1465581341,1465581932,1465582400,81,unsure,0,17.65
kardas,sword,A10,A,1465578809,1465579418,1465580113,1465580743,1465581331,1465581953,1465582468,81,dirt,0,18.95
tiltas,bridge,A10,A,1465578823,1465579463,1465580083,1465580711,1465581289,1465581949,1465582488,98,building,0,19.98333333
smegenys,brain,A10,A,1465578834,1465579447,1465580099,1465580697,1465581315,1465581944,1465582396,97,brain,1,18.01666667
sesuo,sister,A10,A,1465578850,1465579433,1465580067,1465580681,1465581303,1465581940,1465582392,98,sister,1,18.15
padazas,gravy,A10,A,1465578866,1465579489,1465580159,1465580755,1465581393,1465581976,1465582512,23,unsure,0,18.65
plyta,brick,A10,A,1465578878,1465579517,1465580143,1465580788,1465581410,1465581957,1465582495,81,brick,1,18.08333333
lova,bed,A10,A,1465578890,1465579538,1465580174,1465580800,1465581353,1465581962,1465582493,98,bed,1,19
upe,river,A10,A,1465578904,1465579503,1465580133,1465580776,1465581365,1465581973,1465582508,92,river,1,19.05
kirvis,axe,A10,A,1465578914,1465579527,1465580188,1465580766,1465581381,1465581968,1465582501,61,ensure,0,18.66666667
kunigas,priest,A10,A,1465578928,1465579596,1465580208,1465580872,1465581448,1465581985,1465582522,90,priest,1,17.9
knyga,book,A10,A,1465578945,1465579574,1465580198,1465580828,1465581460,1465581991,1465582530,89,book,1,17.83333333
varpas,bell,A10,A,1465578955,1465579562,1465580218,1465580844,1465581472,1465582003,1465582555,83,bell,1,18.05
miestas,city,A10,A,1465578969,1465579552,1465580232,1465580812,1465581422,1465581998,1465582549,90,street,0,18.78333333
lietus,rain,A10,A,1465578983,1465579584,1465580242,1465580858,1465581432,1465581980,1465582533,34,unsure,0,18.35
batas,shoe,A10,A,1465578997,1465579620,1465580287,1465580921,1465581486,1465582031,1465582560,50,shoe,1,17.9
karalius,king,A10,A,1465579013,1465579661,1465580303,1465580883,1465581519,1465582023,1465582576,40,unsure,0,17.61666667
akis,eye,A10,A,1465579025,1465579647,1465580274,1465580931,1465581496,1465582037,1465582593,72,eye,1,18.28333333
masina,car,A10,A,1465579037,1465579636,1465580317,1465580911,1465581533,1465582014,1465582583,90,car,1,17.5
pinigine,wallet,A10,A,1465579049,1465579610,1465580258,1465580895,1465581508,1465582019,1465582588,18,unsure,0,18
laikrodis,clock,A10,A,1465579060,1465579689,1465580355,1465580994,1465581595,1465582069,1465582621,83,clock,1,17.1
laiptelis,stair,A10,A,1465579072,1465579675,1465580345,1465580943,1465581565,1465582046,1465582598,19,unsure,0,17.21666667
kumpis,ham,A10,A,1465579088,1465579725,1465580333,1465580957,1465581579,1465582059,1465582616,71,ham,1,17.28333333
duona,bread,A10,A,1465579100,1465579705,1465580367,1465580981,1465581549,1465582054,1465582626,60,bread,1,17.95
vaistas,drug,A10,A,1465579114,1465579715,1465580379,1465580969,1465581611,1465582074,1465582629,24,unsure,0,16.96666667
pastatas,building,A11,A,1465657156,1465657811,1465658384,1465659040,1465659606,1465660825,1465661138,77,building,1,25.53333333
mesa,meat,A11,A,1465657168,1465657784,1465658440,1465659010,1465659630,1465660821,1465661144,100,meat,1,25.23333333
kreida,chalk,A11,A,1465657182,1465657768,1465658400,1465659061,1465659620,1465660813,1465661151,100,unsure,0,25.51666667
bugnas,drum,A11,A,1465657196,1465657798,1465658414,1465659050,1465659640,1465660833,1465661146,64,unsure,0,25.1
muilas,soap,A11,A,1465657208,1465657825,1465658430,1465659026,1465659650,1465660829,1465661159,100,soap,1,25.15
rusys,basement,A11,A,1465657224,1465657867,1465658480,1465659103,1465659679,1465660838,1465661164,97,basement,1,24.75
mokykla,school,A11,A,1465657238,1465657879,1465658509,1465659127,1465659715,1465660853,1465661167,75,unsure,0,24.2
dirzas,belt,A11,A,1465657255,1465657889,1465658492,1465659075,1465659667,1465660858,1465661177,97,unsure,0,25.16666667
pupa,bean,A11,A,1465657267,1465657839,1465658452,1465659115,1465659691,1465660846,1465661181,98,bean,1,24.83333333
nafta,oil,A11,A,1465657283,1465657853,1465658466,1465659087,1465659705,1465660842,1465661172,74,oil,1,24.45
sausainis,cookie,A11,A,1465657293,1465657946,1465658579,1465659180,1465659761,1465660875,1465661191,90,cookie,1,23.83333333
purvas,dirt,A11,A,1465657303,1465657956,1465658547,1465659167,1465659772,1465660879,1465661197,97,dirt,1,23.75
traukinys,train,A11,A,1465657313,1465657901,1465658521,1465659139,1465659739,1465660870,1465661186,100,train,1,24.11666667
arbata,tea,A11,A,1465657323,1465657917,1465658563,1465659190,1465659725,1465660863,1465661188,65,tea,1,24.38333333
smuikas,violin,A11,A,1465657339,1465657934,1465658537,1465659155,1465659751,1465660867,1465661203,57,unsure,0,24.2
burna,mouth,A11,A,1465657356,1465658030,1465658622,1465659254,1465659840,1465660897,1465661209,87,unsure,0,22.81666667
daina,song,A11,A,1465657366,1465658014,1465658591,1465659240,1465659828,1465660909,1465661219,70,bread,0,23.18333333
zele,jelly,A11,A,1465657382,1465657998,1465658648,1465659204,1465659814,1465660906,1465661207,100,jelly,1,23.21666667
kriaukle,sink,A11,A,1465657392,1465657982,1465658632,1465659214,1465659786,1465660901,1465661212,48,unsure,0,23.76666667
kamuolys,ball,A11,A,1465657402,1465657966,1465658605,1465659226,1465659800,1465660884,1465661223,75,violin,0,23.71666667
gelezis,iron,A11,A,1465657412,1465658103,1465658720,1465659313,1465659907,1465660912,1465661239,63,unsure,0,22.2
kardas,sword,A11,A,1465657428,1465658043,1465658710,1465659329,1465659897,1465660928,1465661243,100,sword,1,22.43333333
tiltas,bridge,A11,A,1465657442,1465658087,1465658680,1465659297,1465659854,1465660924,1465661247,92,bridge,1,23.21666667
smegenys,brain,A11,A,1465657452,1465658071,1465658696,1465659282,1465659880,1465660919,1465661236,99,brain,1,22.6
sesuo,sister,A11,A,1465657469,1465658057,1465658664,1465659266,1465659868,1465660916,1465661234,100,sister,1,22.76666667
padazas,gravy,A11,A,1465657485,1465658113,1465658757,1465659341,1465659959,1465660947,1465661263,68,unsure,0,21.73333333
plyta,brick,A11,A,1465657497,1465658141,1465658741,1465659373,1465659975,1465660931,1465661252,63,unsure,0,21.28333333
lova,bed,A11,A,1465657509,1465658162,1465658771,1465659385,1465659919,1465660935,1465661249,100,bed,1,22.16666667
upe,river,A11,A,1465657523,1465658127,1465658731,1465659361,1465659931,1465660943,1465661259,97,river,1,22.13333333
kirvis,axe,A11,A,1465657533,1465658151,1465658785,1465659351,1465659947,1465660939,1465661255,76,unsure,0,21.8
kunigas,priest,A11,A,1465657547,1465658220,1465658805,1465659458,1465660014,1465660954,1465661267,99,priest,1,20.88333333
knyga,book,A11,A,1465657563,1465658198,1465658795,1465659414,1465660026,1465660958,1465661270,100,book,1,20.73333333
varpas,bell,A11,A,1465657573,1465658186,1465658815,1465659430,1465660038,1465660966,1465661282,65,unsure,0,20.73333333
miestas,city,A11,A,1465657588,1465658176,1465658829,1465659397,1465659987,1465660962,1465661280,74,unsure,0,21.55
lietus,rain,A11,A,1465657602,1465658208,1465658840,1465659444,1465659997,1465660951,1465661276,65,unsure,0,21.31666667
batas,shoe,A11,A,1465657616,1465658244,1465658884,1465659506,1465660052,1465660982,1465661285,58,unsure,0,20.55
karalius,king,A11,A,1465657632,1465658285,1465658900,1465659468,1465660084,1465660978,1465661288,63,unsure,0,20.06666667
akis,eye,A11,A,1465657644,1465658271,1465658872,1465659516,1465660062,1465660985,1465661295,53,unsure,0,20.55
masina,car,A11,A,1465657656,1465658260,1465658914,1465659496,1465660098,1465660969,1465661290,100,car,1,19.86666667
pinigine,wallet,A11,A,1465657668,1465658234,1465658856,1465659480,1465660074,1465660972,1465661293,54,unsure,0,20.31666667
laikrodis,clock,A11,A,1465657678,1465658313,1465658953,1465659579,1465660161,1465661001,1465661302,73,unsure,0,19.01666667
laiptelis,stair,A11,A,1465657690,1465658299,1465658942,1465659529,1465660131,1465660988,1465661297,88,unsure,0,19.43333333
kumpis,ham,A11,A,1465657707,1465658349,1465658930,1465659543,1465660145,1465660999,1465661299,55,unsure,0,19.23333333
duona,bread,A11,A,1465657719,1465658329,1465658965,1465659567,1465660114,1465660996,1465661305,56,unsure,0,19.85
vaistas,drug,A11,A,1465657733,1465658339,1465658977,1465659555,1465660177,1465661008,1465661307,98,unsure,0,18.83333333
pastatas,building,A12,A,1465828579,1465829224,1465829791,1465830456,1465831047,1465831738,1465832047,100,building,1,16.66666667
mesa,meat,A12,A,1465828591,1465829198,1465829847,1465830426,1465831071,1465831735,1465832052,100,meat,1,16.35
kreida,chalk,A12,A,1465828605,1465829182,1465829807,1465830476,1465831061,1465831728,1465832057,100,chalk,1,16.6
bugnas,drum,A12,A,1465828619,1465829212,1465829821,1465830466,1465831081,1465831747,1465832054,100,drum,1,16.21666667
muilas,soap,A12,A,1465828631,1465829238,1465829837,1465830442,1465831091,1465831741,1465832060,100,soap,1,16.15
rusys,basement,A12,A,1465828647,1465829280,1465829888,1465830519,1465831119,1465831751,1465832063,100,basement,1,15.73333333
mokykla,school,A12,A,1465828661,1465829292,1465829916,1465830543,1465831156,1465831760,1465832067,100,school,1,15.18333333
dirzas,belt,A12,A,1465828677,1465829302,1465829900,1465830490,1465831107,1465831763,1465832073,100,belt,1,16.1
pupa,bean,A12,A,1465828689,1465829252,1465829860,1465830531,1465831131,1465831757,1465832075,100,bean,1,15.73333333
nafta,oil,A12,A,1465828706,1465829266,1465829874,1465830503,1465831145,1465831754,1465832070,100,oil,1,15.41666667
sausainis,cookie,A12,A,1465828716,1465829359,1465829987,1465830595,1465831202,1465831781,1465832084,100,cookie,1,14.7
purvas,dirt,A12,A,1465828726,1465829369,1465829954,1465830583,1465831212,1465831784,1465832088,100,dirt,1,14.6
traukinys,train,A12,A,1465828736,1465829315,1465829928,1465830555,1465831180,1465831777,1465832078,100,train,1,14.96666667
arbata,tea,A12,A,1465828746,1465829331,1465829971,1465830605,1465831166,1465831770,1465832082,100,tea,1,15.26666667
smuikas,violin,A12,A,1465828762,1465829347,1465829944,1465830571,1465831192,1465831773,1465832090,100,violin,1,14.96666667
burna,mouth,A12,A,1465828778,1465829444,1465830029,1465830670,1465831281,1465831798,1465832097,100,mouth,1,13.6
daina,song,A12,A,1465828788,1465829428,1465829999,1465830656,1465831269,1465831809,1465832103,100,song,1,13.9
zele,jelly,A12,A,1465828805,1465829411,1465830055,1465830620,1465831254,1465831805,1465832094,100,jelly,1,14
kriaukle,sink,A12,A,1465828815,1465829395,1465830039,1465830630,1465831226,1465831801,1465832100,100,sink,1,14.56666667
kamuolys,ball,A12,A,1465828825,1465829379,1465830013,1465830642,1465831240,1465831786,1465832106,95,ball,1,14.43333333
gelezis,iron,A12,A,1465828835,1465829516,1465830128,1465830728,1465831347,1465831812,1465832115,100,iron,1,12.8
kardas,sword,A12,A,1465828851,1465829456,1465830118,1465830745,1465831337,1465831824,1465832119,100,sword,1,13.03333333
tiltas,bridge,A12,A,1465828865,1465829500,1465830088,1465830712,1465831295,1465831821,1465832123,100,bridge,1,13.8
smegenys,brain,A12,A,1465828875,1465829484,1465830104,1465830698,1465831321,1465831818,1465832112,100,brain,1,13.18333333
sesuo,sister,A12,A,1465828891,1465829470,1465830071,1465830682,1465831309,1465831815,1465832110,100,sister,1,13.35
padazas,gravy,A12,A,1465828908,1465829526,1465830164,1465830757,1465831400,1465831839,1465832139,95,gravy,1,12.31666667
plyta,brick,A12,A,1465828920,1465829555,1465830148,1465830789,1465831416,1465831827,1465832129,100,brick,1,11.88333333
lova,bed,A12,A,1465828932,1465829575,1465830178,1465830801,1465831359,1465831830,1465832127,100,bed,1,12.8
upe,river,A12,A,1465828946,1465829541,1465830138,1465830777,1465831371,1465831836,1465832136,100,river,1,12.75
kirvis,axe,A12,A,1465828956,1465829565,1465830192,1465830767,1465831388,1465831833,1465832132,100,axe,1,12.4
kunigas,priest,A12,A,1465828970,1465829633,1465830213,1465830874,1465831454,1465831851,1465832145,100,priest,1,11.51666667
knyga,book,A12,A,1465828986,1465829611,1465830203,1465830829,1465831466,1465831854,1465832149,100,book,1,11.38333333
varpas,bell,A12,A,1465828996,1465829599,1465830223,1465830845,1465831478,1465831861,1465832159,95,unsure,0,11.35
miestas,city,A12,A,1465829010,1465829589,1465830237,1465830813,1465831428,1465831857,1465832154,100,city,1,12.1
lietus,rain,A12,A,1465829025,1465829621,1465830247,1465830860,1465831438,1465831848,1465832152,100,rain,1,11.9
batas,shoe,A12,A,1465829039,1465829658,1465830291,1465830922,1465831492,1465831876,1465832181,100,shoe,1,11.48333333
karalius,king,A12,A,1465829055,1465829698,1465830308,1465830884,1465831525,1465831872,1465832184,100,king,1,10.98333333
akis,eye,A12,A,1465829067,1465829684,1465830279,1465830932,1465831503,1465831878,1465832196,100,eye,1,11.55
masina,car,A12,A,1465829079,1465829674,1465830322,1465830912,1465831539,1465831866,1465832191,100,car,1,10.86666667
pinigine,wallet,A12,A,1465829091,1465829647,1465830263,1465830896,1465831515,1465831869,1465832194,100,wallet,1,11.31666667
laikrodis,clock,A12,A,1465829101,1465829726,1465830360,1465830995,1465831601,1465831914,1465832214,70,clock,1,10.21666667
laiptelis,stair,A12,A,1465829113,1465829712,1465830350,1465830944,1465831571,1465831888,1465832199,80,unsure,0,10.46666667
kumpis,ham,A12,A,1465829129,1465829763,1465830338,1465830958,1465831585,1465831907,1465832210,90,ham,1,10.41666667
duona,bread,A12,A,1465829142,1465829742,1465830372,1465830983,1465831555,1465831901,1465832217,70,bread,1,11.03333333
vaistas,drug,A12,A,1465829156,1465829752,1465830384,1465830971,1465831617,1465831918,1465832220,70,drug,1,10.05
pastatas,building,A13,A,1465846324,1465846960,1465847514,1465848169,1465848728,1465849449,1465849754,34,building,1,17.1
mesa,meat,A13,A,1465846336,1465846934,1465847570,1465848139,1465848752,1465849446,1465849761,70,meat,1,16.81666667
kreida,chalk,A13,A,1465846351,1465846918,1465847530,1465848190,1465848742,1465849439,1465849769,42,shirt,0,17.11666667
bugnas,drum,A13,A,1465846365,1465846948,1465847544,1465848180,1465848762,1465849456,1465849765,47,drum,1,16.71666667
muilas,soap,A13,A,1465846377,1465846974,1465847560,1465848155,1465848773,1465849452,1465849774,12,unsure,0,16.68333333
rusys,basement,A13,A,1465846393,1465847016,1465847611,1465848232,1465848801,1465849459,1465849781,7,ball,0,16.33333333
mokykla,school,A13,A,1465846407,1465847028,1465847639,1465848256,1465848837,1465849468,1465849787,57,school,1,15.83333333
dirzas,belt,A13,A,1465846423,1465847039,1465847623,1465848204,1465848789,1465849472,1465849794,17,window,0,16.75
pupa,bean,A13,A,1465846435,1465846988,1465847583,1465848244,1465848813,1465849466,1465849808,73,bean,1,16.58333333
nafta,oil,A13,A,1465846451,1465847002,1465847597,1465848216,1465848827,1465849463,1465849790,57,tea,0,16.05
sausainis,cookie,A13,A,1465846462,1465847095,1465847710,1465848309,1465848883,1465849484,1465849819,57,cookie,1,15.6
purvas,dirt,A13,A,1465846472,1465847105,1465847677,1465848296,1465848894,1465849487,1465849822,11,potato,0,15.46666667
traukinys,train,A13,A,1465846482,1465847051,1465847651,1465848268,1465848861,1465849481,1465849812,56,train,1,15.85
arbata,tea,A13,A,1465846492,1465847067,1465847693,1465848319,1465848847,1465849475,1465849816,58,tea,1,16.15
smuikas,violin,A13,A,1465846508,1465847083,1465847667,1465848284,1465848873,1465849478,1465849831,37,unsue,0,15.96666667
burna,mouth,A13,A,1465846524,1465847180,1465847752,1465848383,1465848962,1465849493,1465849845,25,pen,0,14.71666667
daina,song,A13,A,1465846534,1465847164,1465847722,1465848369,1465848950,1465849504,1465849873,53,book,0,15.38333333
zele,jelly,A13,A,1465846550,1465847148,1465847778,1465848333,1465848936,1465849500,1465849842,76,jelly,1,15.1
kriaukle,sink,A13,A,1465846560,1465847131,1465847762,1465848343,1465848908,1465849496,1465849865,31,unsure,0,15.95
kamuolys,ball,A13,A,1465846571,1465847115,1465847736,1465848355,1465848922,1465849490,1465849885,15,school,0,16.05
gelezis,iron,A13,A,1465846581,1465847252,1465847851,1465848442,1465849029,1465849507,1465849910,16,gravy,0,14.68333333
kardas,sword,A13,A,1465846597,1465847192,1465847841,1465848458,1465849019,1465849521,1465849918,70,shirt,0,14.98333333
tiltas,bridge,A13,A,1465846611,1465847236,1465847810,1465848426,1465848976,1465849516,1465849924,46,table,0,15.8
smegenys,brain,A13,A,1465846621,1465847220,1465847827,1465848411,1465849002,1465849513,1465849904,14,ball,0,15.03333333
sesuo,sister,A13,A,1465846637,1465847206,1465847794,1465848395,1465848990,1465849510,1465849892,34,river,0,15.03333333
padazas,gravy,A13,A,1465846653,1465847263,1465847887,1465848470,1465849081,1465849538,1465849946,29,gravy,1,14.41666667
plyta,brick,A13,A,1465846665,1465847291,1465847871,1465848502,1465849097,1465849525,1465849932,53,brick,1,13.91666667
lova,bed,A13,A,1465846678,1465847311,1465847901,1465848514,1465849041,1465849528,1465849928,79,bed,1,14.78333333
upe,river,A13,A,1465846692,1465847277,1465847861,1465848490,1465849053,1465849535,1465849943,77,river,1,14.83333333
kirvis,axe,A13,A,1465846702,1465847301,1465847915,1465848480,1465849069,1465849531,1465849936,10,unsure,0,14.45
kunigas,priest,A13,A,1465846716,1465847370,1465847936,1465848587,1465849136,1465849545,1465849953,68,king,0,13.61666667
knyga,book,A13,A,1465846732,1465847347,1465847925,1465848543,1465849148,1465849548,1465849956,23,priest,0,13.46666667
varpas,bell,A13,A,1465846742,1465847335,1465847946,1465848559,1465849160,1465849554,1465849967,15,unsure,0,13.45
miestas,city,A13,A,1465846756,1465847325,1465847960,1465848526,1465849109,1465849551,1465849964,14,meat,0,14.25
lietus,rain,A13,A,1465846770,1465847357,1465847970,1465848573,1465849120,1465849542,1465849959,51,rain,1,13.98333333
batas,shoe,A13,A,1465846784,1465847394,1465848014,1465848635,1465849174,1465849566,1465849972,20,unsure,0,13.3
karalius,king,A13,A,1465846801,1465847434,1465848030,1465848597,1465849206,1465849563,1465849981,47,king,1,12.91666667
akis,eye,A13,A,1465846813,1465847420,1465848002,1465848646,1465849184,1465849569,1465849996,82,eye,1,13.53333333
masina,car,A13,A,1465846825,1465847410,1465848045,1465848625,1465849220,1465849557,1465849985,39,teacher,0,12.75
pinigine,wallet,A13,A,1465846837,1465847384,1465847986,1465848609,1465849196,1465849560,1465849990,1,basement,0,13.23333333
laikrodis,clock,A13,A,1465846847,1465847462,1465848083,1465848708,1465849283,1465849582,1465850009,31,water,0,12.1
laiptelis,stair,A13,A,1465846859,1465847448,1465848073,1465848658,1465849253,1465849572,1465849998,17,blue,0,12.41666667
kumpis,ham,A13,A,1465846875,1465847499,1465848061,1465848672,1465849267,1465849579,1465850006,80,ham,1,12.31666667
duona,bread,A13,A,1465846887,1465847478,1465848095,1465848696,1465849237,1465849576,1465850019,89,bread,1,13.03333333
vaistas,drug,A13,A,1465846901,1465847489,1465848107,1465848684,1465849299,1465849585,1465850023,44,hill,0,12.06666667
pastatas,building,A14,A,1465935051,1465935933,1465936663,1465937484,1465938121,1465938836,1465939096,76,shirt,0,16.25
mesa,meat,A14,A,1465935063,1465935907,1465936720,1465937454,1465938145,1465938832,1465939099,100,meat,1,15.9
kreida,chalk,A14,A,1465935077,1465935891,1465936680,1465937505,1465938135,1465938827,1465939107,82,city,0,16.2
bugnas,drum,A14,A,1465935092,1465935921,1465936694,1465937495,1465938155,1465938844,1465939100,86,drum,1,15.75
muilas,soap,A14,A,1465935104,1465935947,1465936710,1465937470,1465938165,1465938840,1465939111,38,tea,0,15.76666667
rusys,basement,A14,A,1465935120,1465935990,1465936760,1465937547,1465938193,1465938849,1465939122,50,iron,0,15.48333333
mokykla,school,A14,A,1465935134,1465936002,1465936788,1465937571,1465938230,1465938862,1465939125,75,ball,0,14.91666667
