lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
sesuo,sister,H9,H,1475864435,1475865081,1475865667,1475866290,1475866960,1475867540,1476469651,80,sister,1,10044.85
padazas,gravy,H9,H,1475864451,1475865137,1475865759,1475866365,1475867051,1475867585,1476469813,0,plate,0,10046.03333
plyta,brick,H9,H,1475864463,1475865166,1475865743,1475866397,1475867067,1475867563,1476469760,40,cement,0,10044.88333
lova,bed,H9,H,1475864475,1475865186,1475865773,1475866409,1475867011,1475867570,1476469744,91,bed,1,10045.55
upe,river,H9,H,1475864489,1475865152,1475865733,1475866385,1475867023,1475867579,1476469807,10,unsure,0,10046.4
kirvis,axe,H9,H,1475864499,1475865176,1475865788,1475866375,1475867039,1475867574,1476469797,31,sword,0,10045.96667
kunigas,priest,H9,H,1475864513,1475865244,1475865808,1475866482,1475867106,1475867596,1476469820,20,knife,0,10045.23333
knyga,book,H9,H,1475864529,1475865222,1475865798,1475866437,1475867118,1475867601,1476469834,30,book,1,10045.26667
varpas,bell,H9,H,1475864539,1475865210,1475865818,1475866454,1475867130,1475867610,1476469866,10,pants,0,10045.6
miestas,city,H9,H,1475864554,1475865200,1475865832,1475866421,1475867079,1475867606,1476469854,49,party,0,10046.25
lietus,rain,H9,H,1475864568,1475865232,1475865842,1475866468,1475867090,1475867590,1476469846,59,water,0,10045.93333
batas,shoe,H9,H,1475864582,1475865269,1475865887,1475866530,1475867144,1475867627,1476469891,90,shoe,1,10045.78333
karalius,king,H9,H,1475864598,1475865309,1475865903,1475866492,1475867176,1475867622,1476469906,90,flower,0,10045.5
akis,eye,H9,H,1475864610,1475865295,1475865874,1475866540,1475867154,1475867631,1476469954,51,sister,0,10046.66667
masina,car,H9,H,1475864622,1475865285,1475865917,1475866520,1475867190,1475867614,1476469927,60,dinner,0,10045.61667
pinigine,wallet,H9,H,1475864634,1475865258,1475865858,1475866504,1475867166,1475867618,1476469945,0,pants,0,10046.31667
laikrodis,clock,H9,H,1475864644,1475865337,1475865955,1475866603,1475867253,1475867649,1476470041,10,language,0,10046.46667
laiptelis,stair,H9,H,1475864656,1475865323,1475865945,1475866552,1475867223,1475867635,1476469993,10,unsure,0,10046.16667
kumpis,ham,H9,H,1475864673,1475865374,1475865933,1475866567,1475867237,1475867644,1476470014,41,spouse,0,10046.28333
duona,bread,H9,H,1475864685,1475865353,1475865967,1475866591,1475867207,1475867640,1476470056,80,desert,0,10047.48333
vaistas,drug,H9,H,1475864699,1475865363,1475865979,1475866579,1475867269,1475867652,1476470076,61,party,0,10046.78333
pastatas,building,PRISMAF11,PRISMAF,1501436824,1501437588,1501438217,1501439024,1501439727,1501441802,1501700921,63,shirt,0,4353.233333
mesa,meat,PRISMAF11,PRISMAF,1501436836,1501437562,1501438273,1501438994,1501439751,1501441798,1501700931,100,table,0,4353
kreida,chalk,PRISMAF11,PRISMAF,1501436849,1501437546,1501438233,1501439044,1501439741,1501441794,1501700946,41,unsure,0,4353.416667
bugnas,drum,PRISMAF11,PRISMAF,1501436863,1501437576,1501438247,1501439034,1501439761,1501441809,1501700940,49,drum,1,4352.983333
muilas,soap,PRISMAF11,PRISMAF,1501436875,1501437602,1501438263,1501439010,1501439771,1501441806,1501700958,11,unsure,0,4353.116667
rusys,basement,PRISMAF11,PRISMAF,1501436891,1501437644,1501438313,1501439086,1501439799,1501441813,1501700962,1,unsure,0,4352.716667
